"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007399","nervous system development","135/812","249/2031",8.83308717341539e-07,0.0012631314657984,0.00108321542705568,"VCAN/HAPLN1/NRG1/AGTPBP1/NTRK2/VLDLR/FST/BSG/RARA/IGF2BP1/NGF/MOV10/NFASC/MPZ/NTRK1/DPF1/THY1/STMN1/GFRA2/WNT4/AGRN/CEBPB/SDK2/SOX9/NTN1/LHX3/OLFM1/BRINP1/SMARCB1/ACTB/SDK1/DBN1/GABRA1/GABRG2/TENM2/HBEGF/HESX1/TUBB3/MEF2A/NTRK3/ACAN/TCF12/ALDH1A2/CHRNA3/B2M/SOX2/EPHB3/ZIC1/EPHA4/SOX14/EPHB1/LRP8/LHX9/NEUROD1/GBX2/GFRA1/FGF8/LDB1/ZFYVE27/VCL/ATOH7/GPRIN2/ARF6/TGFB3/FOS/FOXG1/DPF3/CLP1/CNTF/BDNF/GFRA4/UNC5C/EPHA5/TENM1/SOX3/PLP1/EFNB1/FZD3/SOX11/MYO6/EPHA7/MARCKS/FABP7/SGK1/DAAM2/PRPH2/SNAP25/FLRT3/PTK2/FZD6/CHD7/PLAG1/CDH2/CDH7/MBP/IRX4/BCL2/DTNBP1/CCK/POMGNT2/TRIM71/RARB/IGF2BP3/SCIN/DLX5/ITGA8/NRP1/SHH/ACVR2B/CSPG5/WNT11/FZD4/RB1/DCT/GABRB3/ANOS1/DMD/EFHC2/ALCAM/GAP43/NTF3/WNT7B/STRAP/PTN/IGF1/SOX10/NELL2/CNTN1/RELN/SEMA3C/PCLO/SEMA3E/SEMA3A/GATA3/SMO",135
"GO:0007275","multicellular organism development","235/812","478/2031",2.05525319217439e-06,0.00146950603240469,0.00126019472046482,"ALDOB/VCAN/HAPLN1/NRG1/SYK/CFC1/AGTPBP1/NTRK2/ANXA1/VLDLR/FST/VDR/COL2A1/MIP/ACHE/BSG/RARA/THRA/IGF2BP1/PHOSPHO1/COL1A1/ACE/NGF/MOV10/NFASC/MPZ/NTRK1/DPF1/CRYAB/THY1/HSPA8/ETS1/BGLAP/STMN1/FGR/GFRA2/YBX1/WNT4/NBL1/AGRN/CEBPB/CDH4/SDK2/SOX9/NOG/NME2/NTN1/LHX3/OLFM1/BRINP1/EXFABP/RACK1/TBX5/TBX3/TESC/SMARCB1/CRYBA4/CRYBB2/CRYBB3/MYL2/MYH11/ACTB/SDK1/LFNG/PMS2/FGF1/ANXA6/DBN1/GABRA1/GABRG2/TENM2/HBEGF/GATA2/HESX1/OGN/CDH3/TUBB3/RPL13/CDH13/WWOX/MEF2A/NTRK3/ACAN/TCF12/ALDH1A2/CHRNA7/WDR61/CHRNA3/B2M/RBPMS2/SOX2/EPHB3/TFRC/BCL6/ZIC1/EPHA4/SOX14/EPHB1/LRP8/CYR61/LHX9/RIF1/INHBB/CRYBA2/SP3/NEUROD1/GBX2/MSTN/FGFR2/GFRA1/FGF8/LDB1/ZFYVE27/ANKRD1/VCL/ATOH7/RSFR/GPRIN2/BMP4/ARF6/SIX6/NRXN3/TGFB3/FOS/FOXG1/GREM1/DPF3/FGF3/CLP1/CNTF/BDNF/GFRA4/FGFR3/PDLIM3/UNC5C/BMPR1B/EPHA5/DUSP4/HOPX/HPSE/RAB33B/TLL1/NPY2R/TENM1/SOX3/PLP1/EFNB1/FZD3/SOX11/COL12A1/MYO6/EPHA7/BVES/SOBP/MARCKS/GJA1/FABP7/SGK1/THBS2/VEGFA/DAAM2/FOSL2/PRPH2/SNAP25/BFSP1/NRXN1/FLRT3/PTK2/MYC/SCX/FZD6/CHD7/PLAG1/CDH2/CDH7/MBP/IRX4/CDH10/CDH6/CDH20/BCL2/BLOC1S5/DTNBP1/GLI3/INHBA/CCK/POMGNT2/TRIM71/RARB/IGF2BP3/SP8/SCIN/DLX5/ITGA8/NRP1/SHH/ACVR2B/CSPG5/WNT11/TSKU/FZD4/PGR/FLT1/RB1/DCT/SOX21/GABRB3/ANOS1/DMD/EFHC2/MYH15/ALCAM/COL8A1/GAP43/TEAD4/NTF3/PTHLH/WNT7B/STRAP/CALD1/PTN/IGF1/MB/SOX10/MDM1/NELL2/CNTN1/RELN/SEMA3C/PCLO/SEMA3E/SEMA3A/GATA3/PODXL/SMO",235
"GO:0050877","nervous system process","59/812","94/2031",4.18328257201714e-06,0.00199403135932817,0.0017100084899649,"OPN2SW/OPN1LW/CHRNA6/AGTPBP1/NTRK2/MIP/THRA/OPN1MSW/NGF/GUCA1A/GUCA1B/LHFPL5/CRYBA4/CRYBB2/CRYBB3/GABRA6/GABRA1/GABRG2/RHO/ARL6IP5/TNNC1/RGS9BP/SLC24A1/RLBP1/CHRNA7/CHRNA3/CHRNB4/B2M/SOX14/RPE65/CRYBA2/CHRNA1/PDE6C/PCDH15/BDNF/COR8/CNGA1/GABRE/GABRQ/MYO6/IMPG1/SOBP/VIP/PRPH2/SNAP25/ARC/CALB1/CHD7/FAM65B/EGFR/CHRNA10/FZD4/GJB6/CNGA3/GABRB3/IMPG2/NTF3/PTN/OPN1SW",59
"GO:0048731","system development","204/812","414/2031",1.10421958574133e-05,0.00394758501902526,0.00338530478260171,"ALDOB/VCAN/HAPLN1/NRG1/SYK/CFC1/AGTPBP1/NTRK2/VLDLR/FST/COL2A1/MIP/ACHE/BSG/RARA/THRA/IGF2BP1/PHOSPHO1/COL1A1/ACE/NGF/MOV10/NFASC/MPZ/NTRK1/DPF1/CRYAB/THY1/ETS1/BGLAP/STMN1/FGR/GFRA2/WNT4/AGRN/CEBPB/SDK2/SOX9/NOG/NTN1/LHX3/OLFM1/BRINP1/EXFABP/TBX5/TBX3/SMARCB1/CRYBA4/CRYBB2/CRYBB3/MYL2/MYH11/ACTB/SDK1/LFNG/PMS2/FGF1/ANXA6/DBN1/GABRA1/GABRG2/TENM2/HBEGF/GATA2/HESX1/OGN/TUBB3/RPL13/CDH13/WWOX/MEF2A/NTRK3/ACAN/TCF12/ALDH1A2/CHRNA7/CHRNA3/B2M/RBPMS2/SOX2/EPHB3/TFRC/BCL6/ZIC1/EPHA4/SOX14/EPHB1/LRP8/CYR61/LHX9/RIF1/CRYBA2/SP3/NEUROD1/GBX2/GFRA1/FGF8/LDB1/ZFYVE27/VCL/ATOH7/RSFR/GPRIN2/BMP4/ARF6/SIX6/NRXN3/TGFB3/FOS/FOXG1/GREM1/DPF3/FGF3/CLP1/CNTF/BDNF/GFRA4/PDLIM3/UNC5C/BMPR1B/EPHA5/HOPX/HPSE/RAB33B/NPY2R/TENM1/SOX3/PLP1/EFNB1/FZD3/SOX11/MYO6/EPHA7/BVES/MARCKS/GJA1/FABP7/SGK1/THBS2/VEGFA/DAAM2/FOSL2/PRPH2/SNAP25/BFSP1/NRXN1/FLRT3/PTK2/FZD6/CHD7/PLAG1/CDH2/CDH7/MBP/IRX4/BCL2/DTNBP1/INHBA/CCK/POMGNT2/TRIM71/RARB/IGF2BP3/SCIN/DLX5/ITGA8/NRP1/SHH/ACVR2B/CSPG5/WNT11/TSKU/FZD4/PGR/FLT1/RB1/DCT/GABRB3/ANOS1/DMD/EFHC2/MYH15/ALCAM/COL8A1/GAP43/NTF3/PTHLH/WNT7B/STRAP/CALD1/PTN/IGF1/MB/SOX10/MDM1/NELL2/CNTN1/RELN/SEMA3C/PCLO/SEMA3E/SEMA3A/GATA3/SMO",204
"GO:0007267","cell-cell signaling","94/812","170/2031",1.80493488968092e-05,0.00399809715307379,0.0034286221445204,"CHRNA6/SYK/NTRK2/ANXA1/SLC24A2/DEPDC1B/FST/GRP/ACE/CRHR1/FZD2/NGF/SFRP1/GNRH1/WNT4/AGRN/KBP/ADORA2B/FZD9/SOX9/STXBP1/RACK1/TBX5/TBX3/AACS/FZD10/RIMBP2/GABRA6/GABRA1/GABRG2/WWOX/BRD7/CALB2/SLC24A1/CHRNA7/CHRNA3/CHRNB4/CSNK1G1/SELENOT/WLS/PLA2G4A/INHBB/GCG/CHRNA1/FZD7/FGF8/LDB1/CHAT/BMP4/GREM1/RAPSN/HRAS/DKK3/BDNF/CPZ/FGFBP2/SFRP2/GABRE/GABRQ/FZD3/SOX11/GJA1/RPS12/VIP/HSP90AB1/DAAM2/SNAP25/MAFA/ARC/FZD6/CALB1/CHD7/CDH2/APCDD1/DTNBP1/INHBA/DLX5/SHH/ACVR2B/CHRNA10/WNT11/FZD4/PGR/GJA3/GJB6/GABRB3/DMD/GJA8/NTF3/WNT7B/CHRM2/IGF1/SYT1/GATA3",94
"GO:0030334","regulation of cell migration","39/812","58/2031",1.91231981492337e-05,0.00399809715307379,0.0034286221445204,"ANXA1/THY1/ETS1/STMN1/FGR/SOX9/NTN1/SLC8B1/TBX5/FGF1/HBEGF/TLDC1/SOX14/CYR61/VIL1/MSTN/FGF8/VCL/ARF6/TGFB3/FGF3/HRAS/PDGFC/MPP1/VEGFA/PTK2/CDH2/FAM65B/BCL2/NRP1/WNT11/FZD4/PTN/CBLL1/SEMA3C/SEMA3E/SEMA3A/GATA3/PODXL",39
"GO:0040012","regulation of locomotion","42/812","64/2031",2.26999116359381e-05,0.00399809715307379,0.0034286221445204,"ANXA1/THY1/ETS1/STMN1/FGR/SOX9/NTN1/SLC8B1/TBX5/FGF1/HBEGF/TLDC1/SOX14/CYR61/VIL1/MSTN/FGF8/VCL/ATOH7/ARF6/TGFB3/FGF3/HRAS/PDGFC/MPP1/BVES/VEGFA/PTK2/CDH2/FAM65B/BCL2/NRP1/WNT11/FZD4/PTN/NELL2/CBLL1/SEMA3C/SEMA3E/SEMA3A/GATA3/PODXL",42
"GO:0042127","regulation of cell population proliferation","102/812","188/2031",2.31377691350497e-05,0.00399809715307379,0.0034286221445204,"VCAN/HAPLN1/SYK/NTRK2/ANXA1/ABHD17B/RPS6/FST/PRLR/JUND/IGF2BP1/NGF/MOV10/NTRK1/S100A11/IL18/THY1/WNT4/AGRN/CEBPB/SDC4/SOX9/NME2/NTN1/ODF2/EXFABP/TBX5/SMARCB1/PMS2/FGF1/DBN1/TENM2/NPM1/HBEGF/TLDC1/NTRK3/ACAN/CHRNA7/B2M/RBPMS2/EPHB3/TFRC/BCL6/P3H2/CYR61/PLA2G4A/VIL1/MSTN/FGFR2/FGF8/ZFYVE27/ANKRD1/ATOH7/ARF6/TGFB3/FOXG1/GREM1/FGF3/CNTF/HRAS/IGF2/BDNF/FGFR3/CNOT7/BMPR1B/PDGFC/TENM1/VIP/VEGFA/FOSL2/SNAP25/MSH6/PTK2/MYC/HSF1/PLAG1/CDH2/FAM65B/BCL2/INHBA/TRIM71/DLX5/NRP1/SHH/P2RY6/WNT11/FZD4/PGR/DCT/EFHC2/PTHLH/PTN/IGF1/KITLG/NELL2/TES/CAV1/SEMA3C/SEMA3E/SEMA3A/GATA3/PODXL",102
"GO:0009653","anatomical structure morphogenesis","156/812","308/2031",2.51628492151497e-05,0.00399809715307379,0.0034286221445204,"SYK/CFC1/AGTPBP1/NTRK2/ANXA1/FOXD1/FST/ACHE/BSG/RARA/THRA/NGF/RHOC/MOV10/NFASC/CSRP1/NTRK1/CRYAB/THY1/HSPA8/ETS1/STMN1/FGR/YBX1/WNT4/NBL1/CEBPB/CDH4/SDC4/SDK2/SOX9/NTN1/LHX3/OLFM1/RACK1/TBX5/TBX3/MYH11/ACTB/SDK1/LFNG/FGF1/SMAD5/ANXA6/DBN1/TENM2/HBEGF/GATA2/CDH3/TUBB3/CDH13/WWOX/SMAD3/ALDH1A2/CHRNA7/RBPMS2/SOX2/EPHB3/BCL6/ZIC1/EPHA4/SOX14/EPHB1/CYR61/LHX9/VIL1/SP3/NEUROD1/GBX2/FGF8/ZFYVE27/ANKRD1/ACTA2/VCL/SUPV3L1/ATOH7/RSFR/BMP4/NRXN3/TGFB3/FOXG1/GREM1/FGF3/CNTF/BDNF/UNC5C/BMPR1B/EPHA5/DUSP4/HPSE/RAB33B/NPY2R/SOX3/EFNB1/SOX11/COL12A1/MYO6/EPHA7/BVES/SOBP/SGK1/THBS2/ACTA1/VEGFA/FOSL2/NRXN1/FLRT3/ARC/PTK2/MYC/CHD7/PLAG1/CDH2/CDH7/FAM65B/CDH10/CDH6/CDH20/BCL2/BLOC1S5/DTNBP1/CCK/RARB/SP8/DLX5/ITGB1/NRP1/SHH/ACVR2B/CSPG5/WNT11/TSKU/FZD4/FLT1/RB1/SOX21/SOX1/ALCAM/COL8A1/GAP43/NTF3/PTHLH/CALD1/PTN/IGF1/SOX10/CSRP2/NELL2/CNTN1/RELN/SEMA3C/SEMA3E/SEMA3A/GATA3/PODXL/SMO",156
"GO:0007155","cell adhesion","82/812","147/2031",4.256191069705e-05,0.00608635322967816,0.00521943431179614,"VCAN/HAPLN1/SYK/ANXA1/MIP/BSG/NFASC/MPZ/THY1/OPCML/NTM/PTPRU/AGRN/MXRA8/CEBPB/CDH4/SDK2/SOX9/NTN1/TESC/SDK1/TENM2/CDH3/CDH13/ACAN/PRTG/B2M/EPHB3/TFRC/BCL6/EPHA4/EPHB1/NEGR1/CYR61/TNR/CNTNAP5/ITGA6/COL6A3/VCL/PCDH15/CDHR1/NRXN3/GREM1/MYBPC3/IGF2/HPSE/SPP1/TENM1/COL12A1/EPHA7/BVES/THBS2/VEGFA/PRPH2/EPCAM/NRXN1/FLRT3/PTK2/COL14A1/CDH2/CDH7/FAM65B/CDH10/CDH6/CDH20/BCL2/ITGA8/ITGB1/NRP1/FZD4/CNTN5/ANOS1/ALCAM/COL8A1/LSAMP/KITLG/CNTN1/CAV1/CBLL1/RELN/GATA3/PODXL",82
